::1 - - [07/Jun/2021:11:19:01 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 200 188 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 200 188 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/5d7b80ff-3dee-4ea8-ac9b-073f4d6f1757 HTTP/1.1" 200 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 201 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/e49d413a-c051-472b-8ed9-91a6c0eb373f HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 201 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "PUT /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/0d926077-fdc3-4d30-b840-2d0dc3f82ab2 HTTP/1.1" 200 194 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/0d926077-fdc3-4d30-b840-2d0dc3f82ab2 HTTP/1.1" 200 194 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/5d7b80ff-3dee-4ea8-ac9b-073f4d6f1757 HTTP/1.1" 200 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/5d7b80ff-3dee-4ea8-ac9b-073f4d6f1757 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/5d7b80ff-3dee-4ea8-ac9b-073f4d6f1757 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /users HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /users HTTP/1.1" 201 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /users/e4e832a0-0185-4c11-bcd7-4938a82f3b1a HTTP/1.1" 200 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /users/e4e832a0-0185-4c11-bcd7-4938a82f3b1a HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /users HTTP/1.1" 201 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /users/c018a3e8-83e1-45f8-a0dd-9e923f4f3761 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /users HTTP/1.1" 201 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "PUT /users/f7e6af5c-de4b-4431-9dba-3304deefee9e HTTP/1.1" 200 101 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /users/f7e6af5c-de4b-4431-9dba-3304deefee9e HTTP/1.1" 200 101 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /users/f7e6af5c-de4b-4431-9dba-3304deefee9e HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /users HTTP/1.1" 201 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /users/af199126-03c2-4a58-b4f9-6f1621b72304 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /users HTTP/1.1" 201 84 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks HTTP/1.1" 201 218 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks HTTP/1.1" 201 218 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /users/84fe56f7-314f-40bb-99fd-ec3c9bcd7aa7 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks/5433c324-9e93-496b-8b77-a5db2ff21054 HTTP/1.1" 200 184 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks/61750206-63ae-4a35-ba8f-bfbb36c71c64 HTTP/1.1" 200 184 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks/5433c324-9e93-496b-8b77-a5db2ff21054 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/5c5ad202-68b9-4eef-bac6-e99994a84382/tasks/61750206-63ae-4a35-ba8f-bfbb36c71c64 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "DELETE /boards/5c5ad202-68b9-4eef-bac6-e99994a84382 HTTP/1.1" 204 - "-" "-"
